GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project2,CustomNewsAPI.Core.Parsing.Mappers.APIMappers,ArticleMapper,31,54,0,0,8,11,0,2,0,2
project2,CustomNewsAPI.Core.Parsing.Mappers.APIMappers,CollectionMapper,0,46,0,0,0,6,0,4,0,4
project2,CustomNewsAPI.Client,Entry,19,0,0,0,6,0,2,0,2,0
project2,CustomNewsAPI.Core.Engines,CoreEngine,52,34,3,4,8,13,6,5,3,4
project2,CustomNewsAPI.Core.Engines,Engine,13,14,0,0,6,4,2,1,2,1
project2,CustomNewsAPI.Core.Parsing.APIElements,Collection,56,112,4,8,24,21,8,10,4,8
project2,CustomNewsAPI.Core.Parsing.APIElements,FormatSpecifier.FormatType,0,15,0,0,0,2,0,1,0,1
project2,CustomNewsAPI.Core.Parsing.APIElements,Article,71,244,10,16,32,55,12,10,2,7
project2,CustomNewsAPI.Core.Parsing.APIElements,FormatSpecifier,0,45,0,6,0,11,0,9,0,6
project2,CustomNewsAPI.Core.Parsing.APIElements,ArticleSource,9,36,3,3,3,9,5,3,2,3
project2,CustomNewsAPI.Core.Parsing.Providers.APIProviders,APIFileProvider,2,101,2,4,1,22,2,8,0,7
project2,CustomNewsAPI.Core.Parsing.Providers.APIProviders,URLProvider,101,0,2,0,34,0,9,0,8,0
project2,CustomNewsAPI.Core.Parsing.Mappers.SimpleMappers,ArticleMapper,0,27,0,0,0,8,0,2,0,2
project2,CustomNewsAPI.Core.Parsing.Parsers,SimpleParser,23,71,0,0,6,18,2,5,2,5
project2,CustomNewsAPI.Core.Parsing.Parsers,Parser,10,0,0,0,4,0,2,0,2,0
project2,CustomNewsAPI.Core.Parsing.Parsers,APIParser,41,44,2,0,10,12,3,4,2,4
project2,CustomNewsAPI.Core.Parsing.Providers.SimpleProviders,SimpleFileProvider,28,37,0,0,6,11,1,4,1,4
